Emotion,Text
shame,I shouldn’t have said that in the group chat.
shame,I feel so guilty for not standing up for you.
shame,I can't believe I forgot your birthday.
shame,That comment I made was out of line.
shame,I shouldn’t have spread that rumor.
shame,I’m embarrassed about how I behaved last night.
shame,I feel terrible for not including everyone.
shame,"My joke was in poor taste, I’m sorry."
shame,"I missed the meeting, and I feel awful."
shame,I regret snapping at you earlier.
shame,I shouldn’t have lost my temper like that.
shame,I feel ashamed for lying about that.
shame,I forgot to turn in our group project.
shame,I embarrassed myself during the presentation.
shame,I feel bad for not helping you when you needed it.
shame,"I took credit for your idea, and I regret it."
shame,I ignored your message and I feel guilty.
shame,I was wrong to judge you based on rumors.
shame,I’m ashamed I didn’t defend you.
shame,I shouldn’t have laughed at your mistake.
shame,I’m sorry for not listening to your side of the story.
shame,I regret not being there when you needed a friend.
shame,I feel guilty about canceling plans last minute.
shame,I’m mortified by how I acted.
shame,I let my anger get the best of me.
shame,I’m ashamed for not being honest with you.
shame,I feel so bad for forgetting our anniversary.
shame,I’m embarrassed about making such a scene.
shame,I was too harsh in my emails.
shame,I feel guilty for eating your food without asking.
shame,I shouldn’t have made fun of your idea.
shame,I regret being so dismissive.
shame,I’m sorry for not paying attention when you were talking.
shame,I feel guilty for not taking your advice.
shame,I’m ashamed of how I treated you.
shame,I embarrassed myself and you with my comments.
shame,I feel terrible for gossiping about you.
shame,I regret not being a better friend to you.
shame,I’m ashamed for avoiding your calls.
shame,I feel guilty for not volunteering when needed.
shame,"My behavior was unacceptable, and I’m sorry."
shame,I let everyone down with my mistakes.
shame,I’m embarrassed by how much I overreacted.
shame,I regret how I handled that situation.
shame,I should have been more patient.
shame,I feel so bad for making you wait.
shame,I’m embarrassed by my lack of understanding.
shame,I shouldn’t have been so harsh.
shame,I feel guilty for taking your help for granted.
shame,I’m ashamed I wasn’t there when you succeeded.
shame,I'm ashamed of jumping to conclusions about you.
shame,I regret not giving you the credit you deserved.
shame,I feel terrible for making that insensitive comment.
shame,I shouldn’t have ignored your request for help.
shame,I feel so guilty for talking behind your back.
shame,That was wrong of me to mock your efforts.
shame,I’m embarrassed about not checking the facts first.
shame,I wish I hadn’t been so thoughtless.
shame,I feel bad for not supporting your decision.
shame,"My actions were inexcusable, and I’m deeply sorry."
shame,I regret being so quick to criticize.
shame,I'm ashamed of how selfish I behaved.
shame,I feel terrible for doubting your intentions.
shame,I embarrassed myself with that inappropriate joke.
shame,I feel bad about not following through with my promises.
shame,I regret not being more understanding of your situation.
shame,I’m sorry for not being responsive when you needed me.
shame,"I let my frustrations get the better of me, my apologies."
shame,I feel so guilty for not checking on you.
shame,I was wrong to share your personal information.
shame,I regret not taking the time to hear you out fully.
shame,I’m embarrassed about how quickly I lost my patience.
shame,I should have been more careful with my words.
